152,Chikorita,R,R,R,Ev,Ev,Ev,Ev,R,T,R,T,T,T,R,R,T,T,T,T,T,T,Ev,Ev,R,R,T,C,C,T,T
153,Bayleef,E,E,E,EvE,EvE,EvE,EvE,E,S,E,T,T,T,E,E,T,T,T,T,T,T,EvE,EvE,E,E,T,E,E,T,T
154,Meganium,E,E,E,EvE,EvE,EvE,EvE,E,E,E,T,T,T,E,E,T,T,T,T,T,T,Ev,Ev,E,E,T,E,E,T,T
155,Cyndaquil,R,R,R,Ev,Ev,Ev,Ev,R,T,R,T,T,T,R,R,T,T,T,T,T,T,Ev,Ev,R,R,T,C,C,T,T
156,Quilava,E,E,E,EvE,EvE,EvE,EvE,E,S,E,T,T,T,E,E,T,T,T,T,T,T,EvE,EvE,E,E,T,E,E,T,T
157,Typhlosion,E,E,E,Ev,Ev,Ev,Ev,E,E,E,T,T,T,E,E,T,T,T,T,T,T,Ev,Ev,E,E,T,E,E,T,T
158,Totodile,R,R,R,Ev,Ev,Ev,Ev,R,T,R,T,T,T,R,R,T,T,T,T,T,T,Ev,Ev,R,R,T,C,C,T,T
159,Croconaw,E,E,E,EvE,EvE,EvE,EvE,E,S,E,T,T,T,E,E,T,T,T,T,T,T,EvE,EvE,E,E,T,E,E,T,T
160,Feraligatr,E,E,E,EvE,EvE,EvE,EvE,E,E,E,T,T,T,E,E,T,T,T,T,T,T,Ev,Ev,E,E,T,E,E,T,T
161,Sentret,C,C,C,T,T,C,C,T,T,T,C,C,C,C,C,C,S,S,B,B,C,C,C,T,T,T,T,T,T,T
162,Furret,C,C,C,T,T,E,E,T,S,T,E,E,E,C,C,C,E,E,S,S,E,E,E,T,T,T,T,T,T,T
163,Hoothoot,C,C,C,Ev,Ev,Ev,Ev,C,T,T,C,C,C,C,C,C,B,B,B,B,C,B,B,T,T,C,T,T,C,C,
164,Noctowl,C,C,C,EvE,EvE,EvE,EvE,E,S,T,C,C,C,C,C,C,C,C,C,C,E,C,C,T,T,E,T,T,C,C
165,Ledyba,Ev,C,C,T,T,C,C,C,T,S,B,B,B,T,C,T,B,B,T,B,C,C,C,T,T,C,C,C,C,C
166,Ledian,EvE,C,C,T,T,E,E,E,S,E,C,C,C,T,C,T,C,C,T,S,E,E,E,T,T,E,C,C,C,C
167,Spinarak,C,Ev,C,T,T,C,C,C,T,S,B,B,B,C,T,T,B,B,B,T,C,B,B,B,B,B,C,C,C,C
168,Ariados,C,EvE,C,T,T,E,E,E,S,E,C,C,C,C,T,T,C,C,S,T,E,C,C,C,C,C,C,C,C,C
169,Crobat,E,E,E,E,E,E,E,E,T,E,E,E,E,E,E,E,C,C,C,C,E,E,E,E,E,T,C,C,C,C
170,Chinchou,C,C,C,C,C,T,T,C,T,T,C,C,C,C,C,C,C,C,C,C,C,C,C,C,C,T,C,C,C,C
171,Lanturn,C,C,C,E,E,T,T,E,T,T,C,C,E,C,C,E,C,C,C,C,E,C,C,C,C,T,E,E,C,C
172,Pichu,B,B,R,B,B,B,B,B,T,T,C,C,C,B,B,B,EvB,EvB,EvB,EvB,T,B,B,B,B,B,C,C,C,C
173,Cleffa,B,B,R,T,T,B,B,T,T,T,C,C,C,B,B,B,B,B,B,B,C,B,B,B,B,B,C,C,C,C,
174,Igglybuff,B,B,R,B,B,B,B,B,T,T,C,C,C,B,B,B,B,B,B,B,C,B,B,B,B,B,C,C,C,C,
175,Togepi,R,R,R,T,T,R,R,T,T,R,C,C,C,R,R,T,EvB,C,R,R,C,T,T,R,R,C,B,B,T,T
176,Togetic,E,E,E,T,T,E,E,T,S,E,E,E,E,E,E,T,EvB,E,E,E,E,T,T,E,E,E,B,B,T,T
177,Natu,C,C,C,C,C,C,C,C,T,S,S,S,S,C,C,C,T,T,S,S,C,T,T,B,B,B,T,T,C,C
178,Xatu,E,E,R,C,C,E,E,C,T,E,E,E,E,R,R,E,T,T,E,E,E,T,T,C,C,C,T,T,C,C
179,Mareep,C,C,T,Ev,Ev,Ev,Ev,C,T,S,C,C,C,C,C,C,T,C,C,C,C,C,C,Ev,Ev,T,T,T,C,C
180,Flaaffy,C,C,T,EvE,EvE,EvE,EvE,E,S,E,C,C,C,C,C,E,T,E,E,E,E,E,E,EvE,EvE,T,T,T,C,C
181,Ampharos,E,E,T,EvE,EvE,EvE,EvE,E,E,E,E,E,E,E,E,E,T,E,E,E,E,E,E,EvE,EvE,T,T,T,E,E
182,Bellossom,E,E,E,E,E,E,EvE,E,T,T,E,E,E,E,E,E,T,E,T,T,E,E,E,E,E,E,T,T,T,T
183,Marill,C,C,C,C,C,T,C,C,T,T,C,C,C,C,C,C,T,E,C,C,C,C,C,C,C,B,C,C,T,T
